lineage	non_spike_mutations
Q.4	29.
Q.7	30.
Q.8	31.
R.1	17.
W.1	16.
XA	26.
XAA	44.
XAB	43.
XAC	43.
XAD	42.
XAE	44.
XAF	41.
XAG	45.
XAH	39.
XAJ	46.
XAK	43.
XAL	38.
XAM	46.
XAN	45.
XAP	39.
XAQ	39.
XAR	42.
XAS	43.
XAT	42.
XAU	46.
XAV	42.
XAW	71.
XAY	44.
XAY.1	50.
XAY.1.1	51.
XAY.1.1.1	53.
XAY.1.1.2	53.
XAY.1.1.3	55.
XAY.1.2	52.
XAY.2	47.
XAY.2.1	50.
XAY.2.2	51.
XAY.2.3	49.
XAY.3	46.
XAZ	42.
XB	22.
XBA	40.
XBB	55.
XBB.1	56.5
XBB.1.1	58.
XBB.1.10	60.
XBB.1.11	58.
XBB.1.11.1	58.
XBB.1.12	62.
XBB.1.12.1	65.
XBB.1.13	56.
XBB.1.13.1	60.
XBB.1.14	58.
XBB.1.14.1	60.
XBB.1.15	57.
XBB.1.15.1	59.
XBB.1.16	64.
XBB.1.16.1	64.
XBB.1.16.10	65.
XBB.1.16.11	64.
XBB.1.16.12	64.
XBB.1.16.13	66.
XBB.1.16.14	65.
XBB.1.16.15	67.
XBB.1.16.16	65.
XBB.1.16.17	64.
XBB.1.16.18	65.
XBB.1.16.19	65.
XBB.1.16.2	66.
XBB.1.16.20	65.
XBB.1.16.21	65.
XBB.1.16.22	65.
XBB.1.16.23	65.
XBB.1.16.24	70.
XBB.1.16.25	67.
XBB.1.16.26	64.
XBB.1.16.27	77.
XBB.1.16.28	68.
XBB.1.16.29	70.
XBB.1.16.3	65.
XBB.1.16.30	67.
XBB.1.16.31	66.
XBB.1.16.32	68.
XBB.1.16.4	64.
XBB.1.16.5	67.
XBB.1.16.6	67.
XBB.1.16.7	68.
XBB.1.16.8	65.
XBB.1.16.9	66.
XBB.1.17	58.
XBB.1.17.1	58.
XBB.1.17.2	59.
XBB.1.18	58.
XBB.1.18.1	58.
XBB.1.19	59.
XBB.1.19.1	60.
XBB.1.19.2	63.
XBB.1.2	58.
XBB.1.20	60.
XBB.1.21	60.
XBB.1.22	57.
XBB.1.22.1	58.
XBB.1.22.2	61.
XBB.1.22.3	59.
XBB.1.23	60.
XBB.1.24	59.
XBB.1.24.1	59.
XBB.1.24.2	62.
XBB.1.24.3	60.
XBB.1.25	59.
XBB.1.26	58.
XBB.1.27	61.
XBB.1.28	57.
XBB.1.28.1	56.
XBB.1.29	58.
XBB.1.3	56.
XBB.1.30	58.
XBB.1.31	59.
XBB.1.31.1	64.
XBB.1.31.2	60.
XBB.1.32	58.
XBB.1.32.1	65.
XBB.1.33	65.
XBB.1.34	62.
XBB.1.34.1	63.
XBB.1.34.2	64.
XBB.1.35	59.
XBB.1.36	58.
XBB.1.37	57.
XBB.1.37.1	60.
XBB.1.38	57.
XBB.1.38.1	58.
XBB.1.39	58.
XBB.1.4	58.
XBB.1.40	63.
XBB.1.4.1	59.
XBB.1.41	58.
XBB.1.41.1	58.
XBB.1.41.2	62.
XBB.1.41.3	61.
XBB.1.4.2	63.
XBB.1.42	59.
XBB.1.42.1	59.
XBB.1.42.2	61.
XBB.1.43	58.
XBB.1.43.1	60.
XBB.1.44	58.
XBB.1.44.1	61.
XBB.1.45	57.
XBB.1.45.1	60.
XBB.1.46	58.
XBB.1.47	62.
XBB.1.47.1	65.
XBB.1.48	59.
XBB.1.49	59.
XBB.1.5	57.
XBB.1.5.1	58.
XBB.1.5.10	59.
XBB.1.5.100	59.
XBB.1.5.101	60.
XBB.1.5.102	62.
XBB.1.5.103	62.
XBB.1.5.104	59.
XBB.1.5.105	64.
XBB.1.5.106	62.
XBB.1.5.107	59.
XBB.1.5.108	63.
XBB.1.5.109	62.
XBB.1.5.11	59.
XBB.1.5.110	58.
XBB.1.5.12	58.
XBB.1.5.13	60.
XBB.1.5.14	59.
XBB.1.5.15	60.
XBB.1.5.16	59.
XBB.1.5.17	60.
XBB.1.5.18	60.
XBB.1.5.19	60.
XBB.1.5.2	58.
XBB.1.5.20	60.
XBB.1.5.21	60.
XBB.1.5.22	59.
XBB.1.5.23	58.
XBB.1.5.24	58.
XBB.1.5.25	60.
XBB.1.5.26	59.
XBB.1.5.27	61.
XBB.1.5.28	58.
XBB.1.5.29	63.
XBB.1.5.3	58.
XBB.1.5.30	58.
XBB.1.5.31	59.
XBB.1.5.32	60.
XBB.1.5.33	59.
XBB.1.5.34	60.
XBB.1.5.35	59.
XBB.1.5.36	59.
XBB.1.5.37	60.
XBB.1.5.38	59.
XBB.1.5.39	60.
XBB.1.5.4	59.
XBB.1.5.40	58.
XBB.1.5.41	63.
XBB.1.5.42	61.
XBB.1.5.43	58.
XBB.1.5.44	63.
XBB.1.5.45	59.
XBB.1.5.46	61.
XBB.1.5.47	60.
XBB.1.5.48	60.
XBB.1.5.49	60.
XBB.1.5.5	61.
XBB.1.5.50	62.
XBB.1.5.51	60.
XBB.1.5.52	59.
XBB.1.5.53	61.
XBB.1.5.54	61.
XBB.1.5.55	59.
XBB.1.5.56	60.
XBB.1.5.57	59.
XBB.1.5.58	62.
XBB.1.5.59	60.
XBB.1.5.6	60.
XBB.1.5.60	60.
XBB.1.5.61	61.
XBB.1.5.62	59.
XBB.1.5.63	59.
XBB.1.5.64	60.
XBB.1.5.65	60.
XBB.1.5.66	59.
XBB.1.5.67	59.
XBB.1.5.68	60.
XBB.1.5.69	60.
XBB.1.5.7	59.
XBB.1.5.70	66.5
XBB.1.5.71	60.
XBB.1.5.72	62.
XBB.1.5.73	60.
XBB.1.5.74	64.
XBB.1.5.75	60.
XBB.1.5.76	61.
XBB.1.5.77	60.
XBB.1.5.78	60.
XBB.1.5.79	59.
XBB.1.5.8	60.
XBB.1.5.80	60.
XBB.1.5.81	60.
XBB.1.5.82	62.
XBB.1.5.83	61.
XBB.1.5.84	59.
XBB.1.5.85	62.
XBB.1.5.86	59.
XBB.1.5.87	63.
XBB.1.5.88	60.
XBB.1.5.89	61.
XBB.1.5.9	60.
XBB.1.5.90	63.
XBB.1.5.91	59.
XBB.1.5.92	60.
XBB.1.5.93	60.
XBB.1.5.94	60.
XBB.1.5.95	59.
XBB.1.5.96	60.
XBB.1.5.97	61.
XBB.1.5.98	60.
XBB.1.5.99	60.
XBB.1.6	58.
XBB.1.7	58.
XBB.1.8	58.
XBB.1.9	59.
XBB.1.9.1	62.
XBB.1.9.2	62.5
XBB.1.9.3	61.
XBB.1.9.4	60.
XBB.1.9.5	60.
XBB.1.9.6	66.
XBB.1.9.7	63.
XBB.2	55.
XBB.2.1	59.
XBB.2.10	58.
XBB.2.11	56.
XBB.2.11.1	59.
XBB.2.12	58.
XBB.2.2	60.
XBB.2.3	61.
XBB.2.3.1	66.
XBB.2.3.10	61.
XBB.2.3.11	60.
XBB.2.3.12	61.
XBB.2.3.13	61.
XBB.2.3.14	61.
XBB.2.3.15	61.
XBB.2.3.16	62.
XBB.2.3.17	64.
XBB.2.3.18	67.
XBB.2.3.19	62.
XBB.2.3.2	63.
XBB.2.3.20	63.
XBB.2.3.21	67.
XBB.2.3.22	64.
XBB.2.3.3	60.
XBB.2.3.4	61.
XBB.2.3.5	61.
XBB.2.3.6	64.
XBB.2.3.7	61.
XBB.2.3.8	63.
XBB.2.3.9	62.
XBB.2.4	55.
XBB.2.5	55.
XBB.2.6	58.
XBB.2.6.1	58.
XBB.2.6.2	58.
XBB.2.6.3	61.
XBB.2.7	56.
XBB.2.7.1	59.
XBB.2.8	56.
XBB.2.9	60.
XBB.3	57.
XBB.3.1	58.
XBB.3.2	59.
XBB.3.3	61.
XBB.3.4	59.
XBB.3.5	60.
XBB.4	56.
XBB.4.1	61.
XBB.5	57.
XBB.6	57.
XBB.6.1	60.
XBB.7	60.
XBB.8	57.
XBB.8.1	61.
XBB.8.2	59.
XBB.9	62.
XBC	38.
XBC.1	39.
XBC.1.1	47.
XBC.1.1.1	48.
XBC.1.1.2	54.
XBC.1.2	41.
XBC.1.2.1	47.
XBC.1.3	41.
XBC.1.3.1	47.
XBC.1.4	44.
XBC.1.5	44.
XBC.1.6	51.
XBC.1.6.1	52.
XBC.1.6.2	52.
XBC.1.6.3	53.
XBC.1.6.4	54.
XBC.1.6.5	55.
XBC.1.6.6	54.
XBC.1.7	43.
XBC.1.7.1	44.
XBC.1.7.2	46.
XBC.2	42.
XBC.2.1	46.
XBD	50.
XBE	45.
XBF	54.
XBF.1	55.
XBF.10	55.
XBF.1.1	57.
XBF.2	55.
XBF.3	56.
XBF.4	56.
XBF.5	55.
XBF.6	55.
XBF.7	57.
XBF.7.1	60.
XBF.8	56.
XBF.8.1	60.
XBF.9	57.
XBG	48.
XBH	49.
XBJ	57.
XBJ.1	58.
XBJ.1.1	65.
XBJ.2	59.
XBJ.3	59.
XBJ.4	57.
XBK	55.
XBK.1	56.
XBL	62.
XBL.1	64.
XBL.2	63.
XBL.3	64.
XBL.3.1	68.
XBM	46.
XBN	60.
XBP	53.
XBQ	55.
XBR	59.
XBS	51.
XBT	50.
XBU	54.
XBV	53.
XBW	56.
XBY	58.
XBZ	52.
XC	29.
XCA	58.
XCB	48.
XCC	63.
XCD	56.
XCE	59.
XCF	58.
XCF.1	62.
XCF.2	61.
XCF.3	60.
XCG	55.
XCH	69.
XCH.1	72.
XCJ	61.
XCK	67.
XCL	64.
XCM	65.
XCN	76.
XCP	67.
XCQ	59.
XCR	69.
XCS	68.
XCT	73.
XCT.1	74.
XCU	61.
XCV	68.
XCW	67.
XCY	66.
XCZ	75.
XD	38.
XDA	67.
XDA.1	69.
XDB	62.
XDC	71.
XDD	69.
XDD.1	72.
XDD.1.1	71.
XDD.1.1.1	71.
XDD.2	70.
XDD.3	75.
XDE	67.
XDF	71.
XDG	74.
XDH	62.
XDJ	71.
XDK	71.
XDK.1	74.
XDK.1.1	75.
XDK.1.2	74.
XDK.2	75.
XDK.3	73.
XDK.4	72.
XDK.4.1	75.
XDK.5	72.
XDK.6	77.
XDL	73.
XDM	69.
XDN	74.
XDP	73.
XDP.1	76.
XDP.2	75.
XDP.3	74.
XDQ	69.
XDQ.1	69.
XDQ.1.1	70.
XDQ.2	70.
XDQ.3	70.
XDR	67.
XDR.1	71.
XDR.1.1	74.
XDR.1.2	74.
XDS	72.
XDT	75.
XDU	69.
XDV	71.
XDV.1	72.
XDV.1.1	74.
XDV.1.10	77.
XDV.1.11	73.
XDV.1.2	74.
XDV.1.2.1	78.
XDV.1.3	72.
XDV.1.4	73.
XDV.1.5	75.
XDV.1.6	79.
XDV.1.7	74.
XDV.1.7.1	77.
XDV.1.8	74.
XDV.1.9	73.
XDV.1.9.1	74.
XDW	68.
XDY	78.
XDZ	68.
XE	38.
XEA	77.
XEB	73.
XEC	78.
XEC.1	82.
XEC.2	80.
XED	76.
XEE	76.
XEF	73.
XEG	73.
XEH	76.
XEJ	76.
XEK	81.
XF	31.
XG	46.
XH	42.
XJ	41.
XK	39.
XL	44.
XM	36.
XN	43.
XP	32.
XQ	42.
XR	45.
XS	35.
XT	38.
XU	43.
XV	39.
XW	44.
XY	44.
XZ	40.
